split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
val,BuEb,BuEb,16,3788,1.983104540654699,939,0.9983387738466263,3794.3031957025305,2.061246040126716,976,0.03462424999452196,109403.09178102961,1.9793030623020063,4686,1,-0.07814149947201687,96.20901639344262,100.1920614596671
test,HoSa,HoSa,0,60000,1.6068,12051,14.830380499362946,4045.7491972358607,1.7027148023793288,8077367,41.8127558559936,907630.5357796699,1.6377379085796986,38845642,12,-0.09591480237932881,94.36694846105172,98.11093652912211
test,GaGa,GaGa,1,60000,1.8676,14007,14.37956803292036,4172.587094594005,1.8108459910739954,6724228,29.69581701399875,1000358.400174551,1.8246629113531365,33877671,11,0.05675400892600457,103.13411572302427,102.35315182764482
test,AnCa,AnCa,2,60000,1.8742666666666667,14057,15.046058356761932,3987.7553693678897,1.6669967070393825,5925743,10.747870527993655,2645913.4324265644,,,,0.20726995962728423,112.43373539683827,
test,DaRe,DaRe,3,60000,1.8701333333333334,14026,14.272822141647339,4203.793713993196,1.5032016292810264,2351196,13.154905149014667,951204.4258971532,1.469040559724907,11488819,10,0.366931704052307,124.41001239652785,127.30304285700151
test,OrSa,OrSa,4,60000,1.9164,14373,14.75707844644785,4065.84543259933,1.7523237776431475,1895249,9.705336028011516,891520.4970778095,1.5988975955008449,8646543,10,0.1640762223568526,109.3633507945394,119.85758221117966
test,DrMe,DrMe,5,60000,1.9212,14409,14.933357000350952,4017.850775186713,1.8960981696434607,1525479,7.856882160005625,819190.9804582575,1.8597292245785606,7481093,10,0.025101830356539345,101.32386765402866,103.30536158753807
test,EnIn,EnIn,6,60000,1.9312,14484,15.009866207838058,3997.370740631144,1.7617650055353369,1162901,6.666002901998581,792171.5723251157,1.5667528573458096,5170889,9,0.16943499446466315,109.61734362598365,123.26130384543161
test,ScPo,ScPo,7,60000,1.9302666666666666,14477,14.681037366390228,4086.9046582062338,1.8645166165907274,496528,3.6828264860087074,578477.1582624495,1.8917959793112287,2518963,8,0.06575005007593915,103.52638584665247,102.03355371171918
test,WaMe,WaMe,8,60000,1.9666666666666666,14750,14.65138392150402,4095.1762865170194,1.927165538384821,440571,1.094467570015695,1671028.9551784282,,,,0.0395011282818456,102.04970084276994,
test,PlFa,PlFa,9,60000,1.8153333333333332,13615,14.619676172733307,4104.058071539512,1.8075748479839406,406104,3.465886951016728,518580.9651041112,1.7142874946921633,1925726,7,0.007758485349392608,100.42922069634051,105.89433446572009
test,EsCo,EsCo,10,60000,1.966,14745,14.781129911541939,4059.2295960506117,1.9015975982704445,220664,0.7765087230072822,1195519.087544486,1.893381063466197,1098552,6,0.06440240172955547,103.38675237011927,103.8354105222147
test,HaHi,HaHi,11,60000,1.9552,14664,15.602673664689064,3845.4947715652106,1.9030104074416356,185068,0.7271839099994395,1069882.033006753,1.8567194643708684,902831,5,0.05218959255836442,102.74247541444225,105.30400728375523
test,HePy,HePy,12,60000,1.9374666666666667,14531,15.479030184447765,3876.211835305015,1.8454214321046873,76946,0.4564387240097858,730799.0809141963,1.801057065339589,375481,4,0.09204523456197933,104.9877623051664,107.57386336902977
test,AeCa,AeCa,13,60000,1.9521333333333333,14641,15.642572283744812,3835.686286861516,1.9053521091351335,75788,0.5200132830068469,611928.599515813,1.9112673462602345,380115,5,0.046781224198199745,102.45525349219753,102.13816173614126
test,YeMi,YeMi,14,14739,1.8253612863830653,3363,3.6936372593045235,3990.375601413338,1.8579279462650111,3423,0.05844123201677576,252202.07533901953,1.8236643189621247,16798,3,-0.03256665988194585,98.24715162138476,100.09305261956906
test,AgPh,AgPh,15,8794,1.963156697748465,2158,2.170866183936596,4050.917585372846,2.005003411416875,2204,0.034137990995077416,257601.56774509858,1.94823743461451,10708,2,-0.041846713668410196,97.91288566243195,100.76578259245423
test,BuEb,BuEb,16,3788,1.961985216473073,929,0.9594169482588768,3948.2312740819903,2.0527983104540657,972,0.02759316097944975,137280.39360264473,1.9793030623020063,4686,1,-0.0908130939809928,95.57613168724279,99.12505335040547
